iter	Logloss
0	0.6282053967
1	0.5607230092	2	0.516506471333	0.4695561504	4	0.4326773445	5	0.405585766666	0.3783837487	7	0.3527405518	8	0.3358190739	9	0.3204553849
10	0.3071883583
11	0.2919618557
12	0.2808021601313	0.2686931721414	0.2575047041515	0.2484386331616	0.2413559021717	0.2371204667
18	0.2308788582
19	0.2244766212020	0.2214612852121	0.2172807508
22	0.2127997145
23	0.2107529881
24	0.2079079744
25	0.2048671969
26	0.2020028749
27	0.2000324091
28	0.1974109293
29	0.1958832316
30	0.1945438829
31	0.1924763985
32	0.1908348962
33	0.1893239954
34	0.1888701508
35	0.1880864246
36	0.1868790594
37	0.1860437689
38	0.1855274561
39	0.1847310031
40	0.1836483109
41	0.1828314922
42	0.1819971301
43	0.1813106944	44	0.180807894545	0.1802959494646	0.1796190143
47	0.1791442108
48	0.178486649	049	0.177978550	050	0.177388551	051	0.177066352	052	0.176657253	053	0.17598154	0.54	0.175397784
55	0.1750978792
56	0.1746953944
57	0.1741649125
58	0.173831651
59	0.1734991347
60	0.1731385709
61	0.1728524998
62	0.1725622214
63	0.1722973331
64	0.1719550647
65	0.1716507217
66	0.1713557824
67	0.1710852346
68	0.1707805799
69	0.1704812105
70	0.1702355709
71	0.1700559313
72	0.1698025606
73	0.1696124021
74	0.1693859612
75	0.1691764936
76	0.1689555166
77	0.1687033626
78	0.1685093858
79	0.1683312998
80	0.1681176992
81	0.1678612674
82	0.1676631867
83	0.1674452357
84	0.1672219791
85	0.1670767844
86	0.1668761791
87	0.1666702822
88	0.1665241227
89	0.1663670059
90	0.1662551755
91	0.1661078133
92	0.1659266384
93	0.1657069631
94	0.1655394501
95	0.1653592124
96	0.1652580578
97	0.1651282479
98	0.1649707831
99	0.1648241461
100	0.1646548207
101	0.1644835111
102	0.1643075313
103	0.1642137184
104	0.1640245295
105	0.1638650153
106	0.1636891669
107	0.163585037
108	0.1634294204
109	0.1633079519
110	0.1631997059
111	0.1630157323
112	0.1628466033
113	0.1627244809
114	0.1625983372
115	0.1624438298
116	0.1623281105
117	0.1621815585
118	0.1620747035
119	0.1619589
120	0.1618321752
121	0.1617325451
122	0.1615948971
123	0.1614503064
124	0.1613133462
125	0.1612071725
126	0.1610995393
127	0.1609474057
128	0.1607801906
129	0.1606388803
130	0.1605010259
131	0.1604095492
132	0.1602467827
133	0.1601666933
134	0.1600474665
135	0.1599421573
136	0.1598578234
137	0.1597478978
138	0.1596034241
139	0.159493703
140	0.1594152351
141	0.1593328266
142	0.159223118
143	0.1590559124
144	0.1589457247
145	0.1588268324
146	0.1586994228
147	0.1586170611
148	0.1584907888
149	0.1583275742
150	0.1582344125
151	0.1581271518
152	0.1580351809
153	0.1579565343
154	0.1578416098
155	0.1577314727
156	0.1576689569
157	0.1575776516
158	0.1574914165
159	0.1574194938
160	0.1573005333
161	0.1571970248
162	0.157086677
163	0.1569672368
164	0.1568917247
165	0.1567609774
166	0.1566901029
167	0.1565655609
168	0.1564479274
169	0.1563584028
170	0.1562485645
171	0.1561558927
172	0.1560812975
173	0.1559817534
174	0.1558732365
175	0.1557745858
176	0.1556903124
177	0.1556235176
178	0.1555485598
179	0.1554301827
180	0.1553524441
181	0.1551810237
182	0.1550719273
183	0.1549811487
184	0.1548396738
185	0.1546756889
186	0.1545818196
187	0.1545141918
188	0.1543939909
189	0.1543073251
190	0.1541912481
191	0.1541241313
192	0.1540455794
193	0.1539456672
194	0.1538240963
195	0.1537027245
196	0.1536128437
197	0.1535269138
198	0.1534411561
199	0.1533658818
