iter	Passed	Remaining
0	164	32689
1	205	20301
2	241	15856
3	280	13740
4	311	12151
5	346	11210
6	402	11107
7	465	11165
8	512	10881
9	549	10444
10	587	10081111	620	9725
12	654	9421313	687	9131414	720	8891515	752	8651616	786	8471717	824	8331
18	857	8172
19	891	8022020	924	7882121	960	7770
22	1084	8345
23	1138	8350
24	1177	8242
25	1210	8100
26	1243	7964
27	1277	7849
28	1314	7748
29	1352	7664
30	1388	7571
31	1425	7484
32	1459	7388
33	1496	7308
34	1518	7160
35	1561	7112
36	1611	7099
37	1662	7087
38	1699	7014
39	1732	6931
40	1767	6855
41	1802	6782
42	1836	6704
43	1868	6644	44	1901	6545	45	1937	6485
46	1975	6431
47	2015	6381
48	2052	6349	49	2162	6450	50	2220	6451	51	2256	6452	52	2290	6353	53	2328	6254	54	2376	6264
55	2419	6222
56	2458	6166
57	2494	6107
58	2529	6044
59	2561	5977
60	2595	5914
61	2631	5856
62	2664	5795
63	2700	5738
64	2735	5682
65	2785	5655
66	2832	5622
67	2869	5570
68	2904	5515
69	2941	5462
70	2975	5405
71	3008	5347
72	3038	5286
73	3073	5233
74	3106	5178
75	3138	5120
76	3172	5067
77	3206	5015
78	3237	4959
79	3272	4908
80	3304	4855
81	3345	4814
82	3382	4768
83	3416	4717
84	3449	4667
85	3480	4613
86	3513	4563
87	3550	4518
88	3583	4468
89	3618	4422
90	3651	4373
91	3683	4324
92	3715	4274
93	3753	4232
94	3786	4185
95	3820	4138
96	3853	4092
97	3886	4044
98	3921	4000
99	3954	3954
100	3989	3910
101	4024	3866
102	4057	3820
103	4090	3776
104	4124	3731
105	4157	3686
106	4191	3642
107	4226	3600
108	4257	3554
109	4285	3505
110	4316	3461
111	4345	3414
112	4379	3371
113	4410	3327
114	4442	3283
115	4475	3240
116	4509	3199
117	4543	3157
118	4590	3124
119	4622	3081
120	4651	3037
121	4680	2992
122	4709	2948
123	4738	2904
124	4767	2860
125	4799	2818
126	4829	2775
127	4857	2732
128	4887	2690
129	4920	2649
130	4949	2607
131	4981	2566
132	5009	2523
133	5039	2482
134	5069	2440
135	5099	2399
136	5129	2358
137	5160	2318
138	5189	2277
139	5225	2239
140	5279	2209
141	5318	2172
142	5355	2134
143	5388	2095
144	5413	2053
145	5439	2011
146	5461	1969
147	5482	1926
148	5503	1883
149	5523	1841
150	5543	1798
151	5563	1756
152	5585	1715
153	5606	1674
154	5627	1633
155	5648	1593
156	5668	1552
157	5689	1512
158	5707	1471
159	5729	1432
160	5751	1393
161	5773	1354
162	5795	1315
163	5818	1277
164	5844	1239
165	5867	1201
166	5887	1163
167	5908	1125
168	5928	1087
169	5948	1049
170	5968	1012
171	5989	974
172	6009	937
173	6029	900
174	6049	864
175	6074	828
176	6093	791
177	6114	755
178	6133	719
179	6154	683
180	6174	648
181	6195	612
182	6214	577
183	6235	542
184	6255	507
185	6277	472
186	6298	437
187	6318	403
188	6339	368
189	6360	334
190	6382	300
191	6402	266
192	6422	232
193	6443	199
194	6470	165
195	6497	132
196	6512	99
197	6530	65
198	6545	32
199	6563	0
